grau_flocu,x,y
36.0,5761,8578775
10.0,-153847,8647778
33.0,-60326,8525718
29.0,-107237,8515435
20.0,-24876,8613344
35.0,4640,8539926
27.0,23496,8603116
75.0,48899,8890690
20.0,-10421,8785594
89.0,446680,8159096
50.0,42283,8947118
30.0,-109546,8620948
22.0,5198,8721133
64.0,-144860,8496031
51.0,-84130,8531757
25.0,6968,8613928
19.0,46331,8651532
26.0,-162747,8638316
4.0,-155720,8705223
22.0,-111255,8800541
0.0,-188520,8572821
0.0,-28111,8750171
40.0,128538,8938831
42.0,-7211,8815230
65.0,521494,8612342
32.0,541065,8626663
11.0,229067,8735271
23.0,209808,8745648
12.0,249939,8744665
14.0,189834,8747988
50.0,493503,8194130
0.0,481670,8186195
40.0,483540,8184968
27.0,483450,8186197
57.0,484310,8187027
44.0,486683,8186691
50.0,483301,8187334
40.0,485791,8188134
50.0,487720,8187890
45.0,486678,8194588
25.0,488784,8195450
41.0,474290,8190239
26.0,474511,8190797
42.0,475437,8191044
50.0,476740,8192214
36.0,478194,8191785
33.0,475675,8190277
33.0,494274,8195205
72.0,474607,8189753
40.0,479272,8192346
50.0,479478,8193129
67.0,481871,8194523
38.0,495218,8189685
0.0,491468,8189767
28.0,493740,8193331
25.0,491614,8189662
20.0,490181,8190349
51.0,488786,8191547
0.0,492166,8198985
30.0,493797,8200029
0.0,497657,8189952
67.0,492199,8186786
24.0,493622,8192010
27.0,495847,8190105
29.0,495461,8190290
