areia_tota,x,y
840.0,-44593,8649995
430.0,-37027,8539136
80.0,-12350,8576607
780.0,-83514,8508564
220.0,4978,8521449
500.0,22390,8779824
480.0,-78321,8519785
260.0,-70843,8508839
590.0,-135262,8631510
390.0,-107321,8519145
720.0,60689,8941793
130.0,-63791,8518239
530.0,-265740,8743509
270.0,-61235,8570116
750.0,-132261,8500037
800.0,-81498,8700308
710.0,18652,8567907
900.0,424276,8020783
740.0,5761,8578775
120.0,-153847,8647778
550.0,-60326,8525718
360.0,-107237,8515435
720.0,-24876,8613344
260.0,4640,8539926
720.0,23496,8603116
890.0,48899,8890690
810.0,-10421,8785594
830.0,446680,8159096
860.0,42283,8947118
830.0,-109546,8620948
580.0,5198,8721133
820.0,-144860,8496031
80.0,-84130,8531757
830.0,6968,8613928
520.0,46331,8651532
360.0,-162747,8638316
400.0,-155720,8705223
590.0,-111255,8800541
920.0,-188520,8572821
880.0,-28111,8750171
850.0,128538,8938831
710.0,-7211,8815230
370.0,521494,8612342
80.0,541065,8626663
336.0,229067,8735271
520.0,209808,8745648
460.0,249939,8744665
161.0,189834,8747988
680.0,493503,8194130
791.0,481670,8186195
755.0,483540,8184968
628.0,483450,8186197
826.0,484310,8187027
762.0,486683,8186691
748.0,483301,8187334
850.0,485791,8188134
812.0,487720,8187890
606.0,486678,8194588
691.0,488784,8195450
851.0,474290,8190239
832.0,474511,8190797
690.0,475437,8191044
832.0,476740,8192214
726.0,478194,8191785
809.0,475675,8190277
717.0,494274,8195205
824.0,474607,8189753
877.0,479272,8192346
813.0,479478,8193129
820.0,481871,8194523
752.0,495218,8189685
951.0,491468,8189767
797.0,493740,8193331
743.0,491614,8189662
803.0,490181,8190349
876.0,488786,8191547
888.0,492166,8198985
750.0,493797,8200029
914.0,497657,8189952
712.0,492199,8186786
439.0,493622,8192010
683.0,495847,8190105
829.0,495461,8190290
