silte,x,y
40.0,-44593,8649995
130.0,-37027,8539136
290.0,-12350,8576607
60.0,-83514,8508564
280.0,4978,8521449
170.0,22390,8779824
310.0,-78321,8519785
420.0,-70843,8508839
240.0,-135262,8631510
310.0,-107321,8519145
110.0,60689,8941793
520.0,-63791,8518239
230.0,-265740,8743509
430.0,-61235,8570116
110.0,-132261,8500037
90.0,-81498,8700308
150.0,18652,8567907
50.0,424276,8020783
150.0,5761,8578775
460.0,-153847,8647778
240.0,-60326,8525718
300.0,-107237,8515435
180.0,-24876,8613344
260.0,4640,8539926
170.0,23496,8603116
70.0,48899,8890690
140.0,-10421,8785594
80.0,446680,8159096
60.0,42283,8947118
70.0,-109546,8620948
330.0,5198,8721133
70.0,-144860,8496031
410.0,-84130,8531757
90.0,6968,8613928
320.0,46331,8651532
330.0,-162747,8638316
330.0,-155720,8705223
230.0,-111255,8800541
40.0,-188520,8572821
90.0,-28111,8750171
100.0,128538,8938831
170.0,-7211,8815230
120.0,521494,8612342
330.0,541065,8626663
290.0,229067,8735271
220.0,209808,8745648
200.0,249939,8744665
230.0,189834,8747988
77.0,493503,8194130
48.0,481670,8186195
44.0,483540,8184968
68.0,483450,8186197
33.0,484310,8187027
57.0,486683,8186691
90.0,483301,8187334
50.0,485791,8188134
67.0,487720,8187890
28.0,486678,8194588
65.0,488784,8195450
48.0,474290,8190239
87.0,474511,8190797
67.0,475437,8191044
47.0,476740,8192214
51.0,478194,8191785
70.0,475675,8190277
101.0,494274,8195205
35.0,474607,8189753
23.0,479272,8192346
66.0,479478,8193129
59.0,481871,8194523
86.0,495218,8189685
29.0,491468,8189767
62.0,493740,8193331
95.0,491614,8189662
96.0,490181,8190349
83.0,488786,8191547
32.0,492166,8198985
48.0,493797,8200029
66.0,497657,8189952
45.0,492199,8186786
129.0,493622,8192010
95.0,495847,8190105
31.0,495461,8190290
