valor_t,x,y
11.399999618530272,713142,7119255
10.0,321554,7001212
21.5,265317,7092284
21.100000381469727,375453,7066121
15.300000190734863,360821,7037165
12.899999618530272,372463,7066091
16.399999618530273,308290,7025396
15.600000381469728,343537,7067986
22.100000381469727,331469,7001350
17.200000762939453,473300,6972554
19.5,331439,7003565
16.799999237060547,521965,7093289
22.0,569954,7105301
14.800000190734863,237258,6999720
17.299999237060547,624702,6885529
16.700000762939453,541277,6897188
12.699999809265137,564040,6926998
12.300000190734863,554603,7021199
16.0,554433,6982432
19.700000762939453,447263,7050005
30.0,397688,7027548
21.299999237060547,442303,7046661
19.5,509915,7005808
23.39999961853028,395637,7035285
18.89999961853028,293369,7026268
19.5,475218,7002464
13.899999618530272,651943,6865265
10.300000190734863,727078,7114587
11.699999809265137,716422,7075978
6.5,680862,6832715
10.399999618530272,704132,7056232
18.89999961853028,716553,7083734
10.5,691217,7058648
10.699999809265137,722022,7053716
16.799999237060547,656180,6815338
0.8999999761581421,663849,6805257
26.0,611661,7073994
16.100000381469727,597929,7104013
5.400000095367432,715494,6854301
13.100000381469728,668627,6866148
5.599999904632568,683883,6838210
17.600000381469727,402399,7060816
24.0,581983,6957909
16.399999618530273,502956,6930491
25.700000762939453,450226,7055555
20.39999961853028,687847,7100806
21.89999961853028,495023,7054544
22.700000762939453,303409,7019779
33.0,413658,7016590
27.200000762939453,398424,7059678
16.5,526959,7094387
24.39999961853028,621526,7062826
15.600000381469728,714740,7094847
11.100000381469728,646431,6816573
22.600000381469727,711416,7074954
14.800000190734863,653222,6813161
33.900001525878906,338152,7021383
23.799999237060547,252025,7005565
16.200000762939453,294290,7030716
28.200000762939453,498004,7091092
23.200000762939453,668920,6818485
12.699999809265137,711798,7098220
38.5,504990,7088876
70.19999694824219,634263,6777932
2.0999999046325684,715535,6856518
5.900000095367432,731487,7081258
25.89999961853028,428394,7043267
37.79999923706055,614797,6876764
24.100000381469727,566028,6930311
32.0,483153,6999155
8.800000190734863,683626,6884767
23.700000762939453,304402,7019795
21.200000762939453,495067,6943782
17.0,318579,7001169
1.399999976158142,638249,6785643
17.65999984741211,432561,6981999
49.38999938964844,650484,6990025
17.420000076293945,315858,7028204
24.86000061035156,315796,7028135
22.030000686645508,315571,7027949
16.700000762939453,314031,7027935
22.299999237060547,313883,7027897
16.239999771118164,313798,7033174
20.190000534057617,313526,7032695
20.309999465942383,312590,7032393
20.36000061035156,314863,7030097
27.459999084472656,315958,7032938
22.809999465942383,315786,7033302
29.049999237060547,315879,7032632
27.39999961853028,312334,7033398
21.530000686645508,313374,7034598
28.059999465942383,311880,7032254
24.93000030517578,314158,7029889
19.6299991607666,313129,7029624
26.3700008392334,551054,7097674
44.060001373291016,582761,6950957
21.290000915527344,550312,7099462
18.68000030517578,550780,7098629
22.200000762939453,550167,7098016
39.68000030517578,551344,7100934
27.770000457763672,552089,7099916
34.7400016784668,552841,7100559
18.979999542236328,552958,7102005
17.520000457763672,552014,7101947
23.530000686645508,556060,7100607
23.38999938964844,555141,7099750
49.040000915527344,554306,7099138
29.06999969482422,555635,7098609
54.959999084472656,554007,7100554
35.790000915527344,549617,7099126
51.61000061035156,549888,7097587
39.97999954223633,649479,6990503
45.15999984741211,650929,6991194
44.31999969482422,650391,6991262
15.3100004196167,703452,6930716
7.920000076293945,630845,6783513
15.539999961853027,651353,6991106
17.31999969482422,650919,6992260
40.38999938964844,651070,6991927
22.57999992370605,652381,6995260
22.8700008392334,651558,6995376
14.31999969482422,650976,6995635
48.79999923706055,651090,6994361
6.960000038146973,648190,6992498
8.65999984741211,647411,6993005
18.020000457763672,646366,6992611
9.229999542236328,661264,6874540
8.0,661294,6874364
1.2799999713897705,661411,6873893
8.020000457763672,662235,6873423
7.570000171661377,662764,6870129
8.029999732971191,662823,6870599
5.510000228881836,663529,6871952
8.40999984741211,676856,6824982
7.539999961853027,668941,6872070
9.210000038146973,654264,6875099
5.570000171661377,664294,6874011
8.600000381469727,664529,6872599
6.849999904632568,668235,6872570
7.849999904632568,667141,6872187
7.949999809265137,665881,6871481
7.650000095367432,666175,6868658
7.980000019073486,666293,6869540
8.899999618530273,669949,6867364
3.2699999809265137,669411,6868071
3.7100000381469727,670009,6868364
3.309999942779541,670881,6867246
6.380000114440918,662999,6871658
6.130000114440918,662175,6870364
5.849999904632568,664528,6872937
9.529999732971191,674170,6824697
9.40999984741211,673828,6825440
4.010000228881836,673885,6825840
4.019999980926514,672513,6825820
7.019999980926514,725558,7005309
5.260000228881836,672228,6825382
6.210000038146973,670970,6823782
9.539999961853027,671713,6824868
9.34000015258789,670762,6824411
8.819999694824219,669428,6824297
5.400000095367432,668456,6824754
6.389999866485596,668499,6824526
4.420000076293945,665828,6826182
6.329999923706055,662970,6824468
13.039999961853027,719358,6999746
6.739999771118164,735282,7003595
6.739999771118164,730370,7004528
8.399999618530273,723509,6998312
14.479999542236328,729735,7009142
7.550000190734863,727056,7004689
19.68000030517578,308345,7011945
22.459999084472656,306990,7010483
18.96999931335449,308021,7010182
20.200000762939453,307119,7010526
9.5600004196167,308259,7010655
8.609999656677246,730075,7008010
6.239999771118164,729555,7002528
8.569999694824219,723924,6997972
7.110000133514404,731999,7007309
7.130000114440918,729454,7005413
10.850000381469728,732155,7009361
9.729999542236328,726778,7004633
6.730000019073486,723999,7002085
7.079999923706055,734980,7005670
7.079999923706055,731433,7007368
6.880000114440918,686036,7035347
6.96999979019165,683866,7031443
6.059999942779541,686504,7034764
10.140000343322754,684568,7032083
4.420000076293945,685738,7035521
8.069999694824219,685185,7037317
7.550000190734863,685951,7038381
10.489999771118164,684717,7032695
8.279999732971191,684547,7034304
11.699999809265137,356665,7031442
11.899999618530272,358522,7031270
10.600000381469728,357951,7028241
11.199999809265137,355265,7034470
8.869999885559082,354579,7035073
9.710000038146973,353833,7034527
8.859999656677246,354008,7035270
14.399999618530272,701361,7072851
