valor_s,x,y
3.799999952316284,713142,7119255
0.699999988079071,321554,7001212
6.800000190734863,265317,7092284
7.199999809265137,375453,7066121
10.600000381469728,360821,7037165
0.699999988079071,372463,7066091
7.699999809265137,308290,7025396
8.199999809265137,343537,7067986
2.0,331469,7001350
2.700000047683716,473300,6972554
0.800000011920929,331439,7003565
3.799999952316284,521965,7093289
0.8999999761581421,569954,7105301
10.399999618530272,237258,6999720
2.400000095367432,624702,6885529
3.0999999046325684,541277,6897188
0.800000011920929,564040,6926998
1.100000023841858,554603,7021199
2.0,554433,6982432
2.299999952316284,447263,7050005
4.199999809265137,397688,7027548
1.899999976158142,442303,7046661
4.900000095367432,509915,7005808
10.699999809265137,395637,7035285
14.600000381469728,293369,7026268
15.899999618530272,475218,7002464
4.800000190734863,651943,6865265
1.7000000476837158,727078,7114587
3.400000095367432,716422,7075978
1.7000000476837158,680862,6832715
3.400000095367432,704132,7056232
1.100000023841858,716553,7083734
1.0,691217,7058648
2.200000047683716,722022,7053716
9.199999809265137,656180,6815338
0.6000000238418579,663849,6805257
6.0,611661,7073994
3.400000095367432,597929,7104013
0.4000000059604645,715494,6854301
1.0,668627,6866148
1.7999999523162842,683883,6838210
1.399999976158142,402399,7060816
0.8999999761581421,581983,6957909
3.400000095367432,502956,6930491
2.299999952316284,450226,7055555
0.5,687847,7100806
1.600000023841858,495023,7054544
18.299999237060547,303409,7019779
1.399999976158142,413658,7016590
2.700000047683716,398424,7059678
1.100000023841858,526959,7094387
0.6000000238418579,621526,7062826
4.099999904632568,714740,7094847
2.299999952316284,646431,6816573
8.699999809265137,711416,7074954
11.600000381469728,653222,6813161
29.700000762939453,338152,7021383
19.0,252025,7005565
3.0,294290,7030716
17.700000762939453,498004,7091092
4.400000095367432,668920,6818485
0.8999999761581421,711798,7098220
1.399999976158142,504990,7088876
39.29999923706055,634263,6777932
0.699999988079071,715535,6856518
1.899999976158142,731487,7081258
1.399999976158142,428394,7043267
2.799999952316284,614797,6876764
2.0,566028,6930311
26.600000381469727,483153,6999155
5.699999809265137,683626,6884767
17.899999618530273,304402,7019795
19.600000381469727,495067,6943782
14.899999618530272,318579,7001169
0.800000011920929,638249,6785643
13.300000190734863,432561,6981999
0.800000011920929,650484,6990025
13.100000381469728,315858,7028204
21.0,315796,7028135
17.100000381469727,315571,7027949
11.800000190734863,314031,7027935
19.89999961853028,313883,7027897
10.100000381469728,313798,7033174
17.100000381469727,313526,7032695
4.900000095367432,312590,7032393
6.599999904632568,314863,7030097
22.600000381469727,315958,7032938
18.89999961853028,315786,7033302
24.200000762939453,315879,7032632
23.0,312334,7033398
18.100000381469727,313374,7034598
25.600000381469727,311880,7032254
18.799999237060547,314158,7029889
11.899999618530272,313129,7029624
4.599999904632568,551054,7097674
0.699999988079071,582761,6950957
19.100000381469727,550312,7099462
10.899999618530272,550780,7098629
13.5,550167,7098016
1.0,551344,7100934
0.4000000059604645,552089,7099916
0.3000000119209289,552841,7100559
1.7000000476837158,552958,7102005
10.600000381469728,552014,7101947
8.100000381469727,556060,7100607
8.0,555141,7099750
0.4000000059604645,554306,7099138
7.300000190734863,555635,7098609
0.4000000059604645,554007,7100554
1.2999999523162842,549617,7099126
3.0,549888,7097587
1.2999999523162842,649479,6990503
1.7999999523162842,650929,6991194
0.9700000286102296,650391,6991262
1.559999942779541,703452,6930716
3.0299999713897705,630845,6783513
11.18000030517578,651353,6991106
11.170000076293944,650919,6992260
1.75,651070,6991927
8.829999923706055,652381,6995260
5.570000171661377,651558,6995376
10.43000030517578,650976,6995635
2.450000047683716,651090,6994361
4.210000038146973,648190,6992498
2.509999990463257,647411,6993005
8.279999732971191,646366,6992611
2.5799999237060547,661264,6874540
2.5,661294,6874364
1.4900000095367432,661411,6873893
2.3399999141693115,662235,6873423
2.789999961853028,662764,6870129
3.180000066757202,662823,6870599
1.8600000143051147,663529,6871952
1.7100000381469729,676856,6824982
1.7599999904632568,668941,6872070
1.0099999904632568,654264,6875099
1.0399999618530271,664294,6874011
1.5,664529,6872599
1.7999999523162842,668235,6872570
5.420000076293945,667141,6872187
1.8799999952316284,665881,6871481
4.019999980926514,666175,6868658
3.299999952316284,666293,6869540
5.920000076293945,669949,6867364
1.0199999809265137,669411,6868071
0.7310000061988831,670009,6868364
2.0799999237060547,670881,6867246
4.300000190734863,662999,6871658
2.930000066757202,662175,6870364
1.5499999523162842,664528,6872937
6.28000020980835,674170,6824697
6.059999942779541,673828,6825440
1.559999942779541,673885,6825840
1.440000057220459,672513,6825820
1.4199999570846558,725558,7005309
1.940000057220459,672228,6825382
3.990000009536743,670970,6823782
3.289999961853028,671713,6824868
4.389999866485596,670762,6824411
7.119999885559082,669428,6824297
2.8499999046325684,668456,6824754
4.090000152587891,668499,6824526
1.0700000524520874,665828,6826182
3.880000114440918,662970,6824468
0.4399999976158142,719358,6999746
2.039999961853028,735282,7003595
2.799999952316284,602774,6772914
0.8999999761581421,597355,6772656
18.200000762939453,248419,7052428
8.300000190734863,248699,7053359
10.899999618530272,248792,7053963
3.440000057220459,730370,7004528
0.4000000059604645,723509,6998312
2.9800000190734863,729735,7009142
1.4500000476837158,727056,7004689
14.300000190734863,246327,7054150
10.75,308345,7011945
18.11000061035156,306990,7010483
14.170000076293944,308021,7010182
15.100000381469728,307119,7010526
8.100000381469727,307420,7010397
4.380000114440918,308259,7010655
4.900000095367432,424381,6974391
3.009999990463257,730075,7008010
1.940000057220459,729555,7002528
10.300000190734863,240369,7012366
2.470000028610229,723924,6997972
1.0099999904632568,731999,7007309
2.430000066757202,729454,7005413
4.150000095367432,732155,7009361
1.7300000190734863,726778,7004633
16.0,238106,7013062
24.100000381469727,443302,6987438
4.599999904632568,437905,6989661
17.899999618530273,442222,6988899
9.199999809265137,441524,6987629
17.600000381469727,457329,7024415
3.130000114440918,723999,7002085
3.4800000190734863,734980,7005670
3.4800000190734863,731433,7007368
3.880000114440918,686036,7035347
1.870000004768372,683866,7031443
0.959999978542328,686504,7034764
3.440000057220459,684568,7032083
2.5199999809265137,685738,7035521
1.3700000047683716,685185,7037317
12.5,457263,7023890
14.600000381469728,455426,7022644
2.200000047683716,451951,7025137
2.200000047683716,452869,7026449
0.8500000238418579,685951,7038381
6.190000057220459,684717,7032695
2.180000066757202,684547,7034304
7.599999904632568,476138,7022393
3.900000095367432,480388,7027018
8.699999809265137,479263,7021893
13.699999809265137,474826,7020643
3.0999999046325684,476826,7021081
6.46999979019165,356665,7031442
8.09000015258789,358522,7031270
6.360000133514404,357951,7028241
4.360000133514404,355265,7034470
4.019999980926514,354579,7035073
6.059999942779541,353833,7034527
1.3600000143051147,354008,7035270
24.89999961853028,239140,7000605
1.7000000476837158,701361,7072851
15.600000381469728,236870,7003415
14.399999618530272,237735,7003199
7.5,237356,7000172
7.099999904632568,239356,7003307
8.5,237843,6999469
1.7000000476837158,694581,7086254
1.2000000476837158,423278,7057589
0.3000000119209289,496951,7094368
0.800000011920929,692335,7069665
10.739999771118164,373892,6994073
7.110000133514404,373294,6992765
12.850000381469728,373774,6995073
7.489999771118164,375480,6994309
