ph_kcl,x,y
4.199999809265137,713142,7119255
3.799999952316284,321554,7001212
4.099999904632568,265317,7092284
4.199999809265137,375453,7066121
5.199999809265137,360821,7037165
4.0,372463,7066091
4.300000190734863,308290,7025396
4.699999809265137,343537,7067986
3.700000047683716,331469,7001350
3.900000095367432,473300,6972554
3.799999952316284,331439,7003565
4.0,521965,7093289
3.799999952316284,569954,7105301
4.0,624702,6885529
4.099999904632568,541277,6897188
4.099999904632568,564040,6926998
4.099999904632568,554603,7021199
4.0,554433,6982432
3.900000095367432,447263,7050005
3.900000095367432,397688,7027548
3.799999952316284,442303,7046661
3.900000095367432,509915,7005808
4.300000190734863,395637,7035285
5.0,293369,7026268
5.0,475218,7002464
3.799999952316284,651943,6865265
3.700000047683716,727078,7114587
3.799999952316284,716422,7075978
3.900000095367432,680862,6832715
4.0,704132,7056232
3.5,716553,7083734
3.799999952316284,691217,7058648
3.700000047683716,722022,7053716
4.199999809265137,656180,6815338
4.300000190734863,663849,6805257
3.5,611661,7073994
3.5999999046325684,597929,7104013
3.299999952316284,715494,6854301
3.5,668627,6866148
3.900000095367432,683883,6838210
3.900000095367432,402399,7060816
3.5999999046325684,581983,6957909
3.700000047683716,502956,6930491
4.0,450226,7055555
3.900000095367432,687847,7100806
3.799999952316284,495023,7054544
5.599999904632568,303409,7019779
3.700000047683716,413658,7016590
4.0,398424,7059678
3.799999952316284,526959,7094387
3.5999999046325684,621526,7062826
3.900000095367432,714740,7094847
3.5999999046325684,646431,6816573
3.799999952316284,711416,7074954
5.199999809265137,653222,6813161
5.800000190734863,338152,7021383
4.400000095367432,252025,7005565
4.300000190734863,294290,7030716
5.099999904632568,498004,7091092
4.0,668920,6818485
3.799999952316284,711798,7098220
4.300000190734863,504990,7088876
4.5,634263,6777932
3.900000095367432,715535,6856518
4.099999904632568,731487,7081258
3.900000095367432,428394,7043267
3.799999952316284,614797,6876764
3.5,566028,6930311
4.900000095367432,483153,6999155
4.099999904632568,683626,6884767
5.0,304402,7019795
5.199999809265137,495067,6943782
5.400000095367432,318579,7001169
3.900000095367432,638249,6785643
3.5999999046325684,701361,7072851
3.700000047683716,694581,7086254
3.799999952316284,423278,7057589
3.799999952316284,496951,7094368
3.799999952316284,692335,7069665
4.099999904632568,561065,6922041
4.0,554212,7022773
4.0,590852,7105183
3.5999999046325684,585252,6955207
4.099999904632568,543403,6899094
4.0,622542,6881389
3.900000095367432,678869,6938299
4.300000190734863,585707,6914131
4.0,554234,7022822
4.0,529219,7019450
4.199999809265137,469915,7003514
4.300000190734863,443647,7047703
4.199999809265137,432632,7038574
4.099999904632568,390829,7029297
5.0,396486,7029101
3.799999952316284,475812,6967782
4.300000190734863,529052,6980025
4.199999809265137,541589,6972513
4.5,640621,6860758
3.900000095367432,637818,6806379
4.400000095367432,564806,6900298
3.700000047683716,439061,7039614
4.0,596698,6869372
4.400000095367432,632006,6862038
4.5,522579,6919747
4.199999809265137,287572,7072611
3.5999999046325684,569313,6967904
4.199999809265137,609397,7109023
3.900000095367432,250035,7041363
4.800000190734863,507163,6994773
3.900000095367432,639736,6897673
4.900000095367432,298456,7008581
4.599999904632568,336440,6998554
4.0,537894,6981060
4.0,659614,6870607
3.900000095367432,658195,6822240
3.799999952316284,649001,6797439
4.099999904632568,688977,7024911
3.799999952316284,643835,7045374
4.0,701926,7019564
