silte,x,y
146.0,590852,7105183
231.0,585252,6955207
210.0,543403,6899094
210.0,622542,6881389
325.0,678869,6938299
256.0,585707,6914131
220.0,554234,7022822
302.0,529219,7019450
237.0,469915,7003514
259.0,443647,7047703
450.0,432632,7038574
304.0,390829,7029297
220.0,396486,7029101
340.0,475812,6967782
313.0,529052,6980025
289.0,541589,6972513
243.0,640621,6860758
300.0,637818,6806379
380.0,564806,6900298
370.0,439061,7039614
370.0,596698,6869372
80.0,632006,6862038
420.0,522579,6919747
200.0,287572,7072611
500.0,569313,6967904
110.0,609397,7109023
260.0,250035,7041363
290.0,507163,6994773
300.0,639736,6897673
160.0,298456,7008581
430.0,336440,6998554
230.0,537894,6981060
260.0,659614,6870607
480.0,658195,6822240
370.0,649001,6797439
620.0,688977,7024911
340.0,643835,7045374
460.0,701926,7019564
